Trade_Time,Price_USD,Volume_BTC,Symbol
2025-11-15 22:44:13.813,95455.1,0.02,BTCUSDT
2025-11-15 22:44:15.217,95455.0,0.007,BTCUSDT
2025-11-15 22:44:18.168,95455.0,0.001,BTCUSDT
2025-11-15 22:44:19.398,95455.1,0.002,BTCUSDT
2025-11-15 22:44:19.398,95455.1,0.002,BTCUSDT
2025-11-15 22:44:19.398,95455.1,0.01,BTCUSDT
2025-11-15 22:44:20.865,95455.1,0.003,BTCUSDT
2025-11-15 22:44:21.353,95455.1,0.005,BTCUSDT
2025-11-15 22:44:22.539,95455.0,0.005,BTCUSDT
2025-11-15 22:44:27.443,95455.0,0.408,BTCUSDT
2025-11-15 22:44:27.443,95455.0,0.002,BTCUSDT
2025-11-15 22:44:27.443,95455.0,0.002,BTCUSDT
2025-11-15 22:44:27.443,95455.0,0.004,BTCUSDT
2025-11-15 22:44:27.443,95455.0,0.03,BTCUSDT
2025-11-15 22:44:27.443,95455.0,0.013,BTCUSDT
2025-11-15 22:44:27.444,95455.0,0.006,BTCUSDT
2025-11-15 22:44:27.444,95455.0,0.025,BTCUSDT
2025-11-15 22:44:27.985,95455.0,0.001,BTCUSDT
2025-11-15 22:44:28.151,95455.0,0.001,BTCUSDT
